time;eth_supply
08/11/2017;95553129
09/11/2017;95573369,62
10/11/2017;95593831,12
11/11/2017;95614186,5
12/11/2017;95634339,75
13/11/2017;95654691,37
14/11/2017;95674672,12
15/11/2017;95695096,12
16/11/2017;95715247,12
17/11/2017;95735546,62
18/11/2017;95755811,25
19/11/2017;95776168,87
20/11/2017;95796502,5
21/11/2017;95816821,5
22/11/2017;95837253,75
23/11/2017;95857529,62
24/11/2017;95877876,75
25/11/2017;95898118,87
26/11/2017;95918409,75
27/11/2017;95938601,62
28/11/2017;95958830,62
29/11/2017;95979171
30/11/2017;95999508,37
01/12/2017;96019902,37
02/12/2017;96040027,12
03/12/2017;96060275,25
04/12/2017;96080567,25
05/12/2017;96101050,87
06/12/2017;96121522,87
07/12/2017;96142290,37
08/12/2017;96162601,12
09/12/2017;96183043,12
10/12/2017;96203314,87
11/12/2017;96223523,62
12/12/2017;96243957,75
13/12/2017;96264423
14/12/2017;96285065,25
15/12/2017;96305760,37
16/12/2017;96326023,5
17/12/2017;96346252,5
18/12/2017;96366687,37
19/12/2017;96387168,75
20/12/2017;96407643,75
21/12/2017;96427911,37
22/12/2017;96448340,25
23/12/2017;96469057,12
24/12/2017;96489460,12
25/12/2017;96509814
26/12/2017;96530101,87
27/12/2017;96550531,5
28/12/2017;96570855,75
29/12/2017;96591194,25
30/12/2017;96611614,12
31/12/2017;96631960,5
01/01/2018;96652472,62
02/01/2018;96672903,37
03/01/2018;96693346,5
04/01/2018;96714126,75
05/01/2018;96734847,75
06/01/2018;96755608,87
07/01/2018;96776605,5
08/01/2018;96797034,37
09/01/2018;96817585,87
10/01/2018;96838471,5
11/01/2018;96859310,62
12/01/2018;96880039,87
13/01/2018;96900539,62
14/01/2018;96921400,5
15/01/2018;96941650,87
16/01/2018;96962367,75
17/01/2018;96983047,87
18/01/2018;97003445,25
19/01/2018;97023942,37
20/01/2018;97044579,75
21/01/2018;97064742
22/01/2018;97085191,87
23/01/2018;97105569,37
24/01/2018;97126039,5
25/01/2018;97146274,12
26/01/2018;97166570,25
27/01/2018;97186897,5
28/01/2018;97207361,62
29/01/2018;97227807,75
30/01/2018;97248006
31/01/2018;97268425,87
01/02/2018;97288842,75
02/02/2018;97309361,25
03/02/2018;97329587,62
04/02/2018;97349805,37
05/02/2018;97370337,37
06/02/2018;97390615,87
07/02/2018;97410941,62
08/02/2018;97431227,62
09/02/2018;97451400,37
10/02/2018;97471985,25
11/02/2018;97492014
12/02/2018;97512398,62
13/02/2018;97532740,87
14/02/2018;97552694,62
15/02/2018;97573189,87
16/02/2018;97593467,25
17/02/2018;97613918,25
18/02/2018;97634168,62
19/02/2018;97654488
20/02/2018;97674778,5
21/02/2018;97695325,12
22/02/2018;97715616,75
23/02/2018;97736162,25
24/02/2018;97756527
25/02/2018;97776640,5
26/02/2018;97796858,25
27/02/2018;97817159,25
28/02/2018;97837612,5
01/03/2018;97857889,87
02/03/2018;97878446,62
03/03/2018;97898779,12
04/03/2018;97918896,75
05/03/2018;97939108,5
06/03/2018;97959444
07/03/2018;97979947,5
08/03/2018;98000139,37
09/03/2018;98020408,87
10/03/2018;98040759,75
11/03/2018;98061187,12
12/03/2018;98081434,12
13/03/2018;98101704,75
14/03/2018;98122000,12
15/03/2018;98142382,12
16/03/2018;98162805,37
17/03/2018;98183105,25
18/03/2018;98203337,62
19/03/2018;98223551,25
20/03/2018;98243860,87
21/03/2018;98264055
22/03/2018;98284445,25
23/03/2018;98304586,5
24/03/2018;98325018,37
